Dept,Clin,Cert,Prate,Exper,Gender
1,1,1,4.346692622997939,37,1
2,1,1,7.191088813823473,10,1
5,1,1,4.703854852719596,15,1
6,0,1,2.113221821486162,10,1
5,1,1,7.006196884476456,13,1
5,0,1,3.6299799898724627,4,1
1,0,1,4.784284008889968,9,1
5,0,1,5.322677589772952,8,1
2,1,0,4.064959060597727,5,1
3,0,0,5.954401063892764,12,1
5,1,0,4.9832851497462265,8,1
6,1,0,5.281529108312733,16,1
3,0,0,7.516053824186125,5,1
4,0,1,8.599801800932587,6,1
4,0,1,5.320656265239478,25,1
4,1,1,6.529511862264543,11,1
5,0,1,8.381705697876269,5,1
4,0,1,7.506867093379545,3,1
1,0,1,6.91301201377451,11,1
2,1,1,4.647415519011858,17,1
2,1,1,2.339336484655318,10,1
3,1,1,5.729058222014808,4,1
6,1,1,3.0086176757678715,7,1
4,1,1,6.702349635058171,8,1
3,1,1,4.247476320291538,6,1
1,0,1,3.0498299022250137,15,1
5,0,1,8.158307142453834,5,1
6,1,1,3.5715122045036494,11,1
5,1,1,1.888645000453648,6,1
6,0,1,1.3154965399325853,10,1
5,1,1,7.63925383246322,14,1
6,1,1,4.9443889975372075,12,1
1,1,1,7.063975478799969,19,1
1,0,0,7.683229836813417,5,1
5,1,1,3.6005874011637107,5,1
2,0,1,3.4327936952197966,24,1
1,1,0,3.2388200776989002,14,1
5,1,1,2.4754387794136123,5,1
5,0,1,3.3073449630752707,8,1
1,1,0,4.390173400086213,5,1
5,0,1,3.0931258975940534,6,1
5,1,1,6.700981729862259,5,1
3,1,1,3.680411553421024,9,1
1,1,1,2.564618564551278,12,1
5,1,1,5.317440583456624,7,1
4,1,1,3.768479376744293,10,1
5,1,1,2.046982518461407,26,1
6,1,1,4.840691019378649,11,1
1,1,1,5.3511225318229805,10,1
1,0,1,3.1487747312068244,6,1
5,0,1,4.36723320439948,21,1
5,0,0,2.6385739731178997,6,1
2,1,1,6.818286217446481,6,1
2,0,0,5.830296724500954,10,1
5,1,1,3.2903490853568154,25,1
1,0,1,4.103909051004745,18,1
2,0,1,6.822450955496988,10,1
5,1,0,2.993163419617162,10,1
6,0,0,7.716951543052279,16,1
1,0,0,6.121528401534047,24,1
6,1,1,2.627433073009706,11,1
5,1,1,5.029874384405996,5,1
1,1,0,4.888688516468819,15,1
2,1,0,1.7680581122010022,7,1
4,0,0,4.612725163066703,10,1
5,1,1,7.563836582975674,5,1
6,0,1,3.106507027350703,4,1
1,1,1,6.383103043987916,5,1
2,1,1,8.101773262856879,19,1
4,0,1,2.3753238925167564,13,1
1,1,1,2.2946009473200317,10,1
5,1,0,7.63826979136349,6,1
5,0,1,4.62779110473879,18,1
1,0,1,3.0369846113061305,27,1
5,1,1,2.4569588365207817,8,1
3,0,1,7.2020937903931985,6,1
5,1,1,3.344058671855001,11,1
3,0,0,3.8980318973230306,9,1
6,1,1,4.997200574981575,5,1
1,0,1,4.333212073511572,6,1
5,0,1,2.571295094335889,4,1
2,0,1,2.465912499634792,8,1
5,0,1,4.870663468951645,12,1
5,1,1,3.7119152350087097,7,1
2,1,1,6.9272306363232,9,1
5,0,1,3.4174363579827465,11,1
5,1,1,2.812921871997977,15,1
4,1,1,4.342454016544117,18,1
1,1,0,2.602373848472128,26,1
6,1,1,3.148357022913875,5,1
2,0,0,2.713119157412554,10,1
1,1,1,7.233848112330796,23,1
6,1,1,3.5691588167345283,11,1
4,1,1,4.326071873615645,8,1
2,1,1,7.0352043311229915,5,1
5,0,0,2.7993879809901445,9,1
4,0,1,1.935756220618483,12,1
6,1,1,5.900482514823041,5,1
1,1,0,4.9141583132357844,15,1
5,0,1,5.064262693489615,12,1
4,1,1,7.41275754201318,11,1
1,0,1,3.214350367457959,5,1
6,1,0,5.765324011179763,15,1
5,1,1,7.905370777553654,5,1
6,1,1,3.508874163744355,4,1
1,1,0,5.198200526766382,11,1
5,1,1,7.688270867442498,15,1
5,0,1,7.1681027722597985,16,1
5,1,1,2.5947933473374145,13,1
1,1,1,7.0241862478305395,9,1
5,1,1,2.0326952399584757,11,1
5,1,1,3.0331659089015073,5,1
5,1,1,3.5010605322468744,10,1
5,1,1,5.917535538647396,5,1
1,0,1,8.3235712948585,10,1
5,0,1,6.739829475530202,18,1
6,1,1,2.7912540225606604,5,1
1,0,1,7.01273430905651,26,1
5,1,1,7.801495084239244,37,1
5,1,0,2.1419183930414896,5,1
3,1,1,3.3719425577185316,10,1
6,0,1,5.955588307904397,18,1
3,0,1,6.731743805092932,8,1
2,0,0,5.386253266209471,11,1
5,1,1,4.831497536299718,8,1
1,1,1,2.9503007353859263,10,1
5,1,0,1.8848861681876672,10,1
1,0,1,7.226792074931021,17,1
1,0,1,3.121534434354555,16,1
4,1,0,4.5231972741787905,5,1
5,0,0,5.567611294268075,25,1
5,0,1,3.366513059841985,5,1
6,1,1,2.183426290272461,14,1
5,1,1,8.118291114826569,5,1
6,1,1,4.793754283890782,5,1
5,0,0,4.0414562370186715,7,1
1,1,1,6.860750189666447,32,1
5,1,1,3.8990827484033197,16,1
5,0,0,7.108707919069115,12,1
2,1,1,3.3990504134808424,5,1
2,1,1,4.693849471158392,10,1
6,0,1,4.781556503447153,19,1
1,0,1,6.408132759949211,26,1
4,1,1,2.8503358187260495,11,1
6,0,1,3.2154166481242217,11,1
5,0,1,3.8845363842259,8,1
3,0,1,6.075173828616694,14,1
3,1,1,8.06217238778473,8,1
5,1,1,2.6748367760769463,5,1
5,1,1,3.974637077212587,10,1
1,0,1,7.834250537236864,27,1
1,0,0,3.55979145163254,5,1
5,0,1,6.615499432005819,21,1
6,1,0,6.127562608566415,3,1
3,1,0,3.985330910669371,14,1
2,1,1,2.7359888573829996,21,1
6,0,0,4.801517334183136,18,1
5,1,0,3.8298466309823063,7,1
2,1,1,3.9809797161008333,25,1
1,1,1,5.944960499188998,6,1
5,1,0,3.0543318623329467,2,1
2,1,1,3.1110684997967137,6,1
5,1,1,1.7902780071312052,37,1
6,1,1,4.539278216175409,16,1
5,0,1,7.0727907499290135,37,1
1,1,1,3.0735863780238892,15,1
6,1,0,5.174081434013166,23,1
6,1,1,3.588275696498241,7,1
5,1,1,2.3353219377096157,11,1
5,0,1,2.370256795502902,5,1
6,1,1,2.909213769392867,14,1
6,1,1,8.286662591833158,11,1
5,0,0,4.148144308992597,10,1
5,1,1,2.338405900879511,14,1
6,1,1,7.9823970587029764,14,1
4,1,1,2.164895412509339,10,1
2,1,1,2.9788381991398873,5,1
6,1,1,2.301316581817421,12,1
1,1,1,3.1028495330510486,7,1
5,1,1,7.770424816540936,5,1
5,0,1,3.383600992753591,26,1
1,0,0,4.561224958322139,5,1
6,0,1,2.2537834341268916,17,1
1,0,0,3.89005884408645,27,1
1,0,0,7.019630775013321,7,1
5,1,0,2.8653664700917236,37,1
6,0,0,3.685305528090125,13,1
6,1,1,3.766640988090152,9,1
5,0,1,8.206393996370076,17,1
5,1,1,2.320677933458846,12,1
1,1,1,2.9689616585741656,9,1
1,1,1,3.504716886607481,14,1
5,1,0,4.350835684425662,16,1
2,0,1,2.9950292027330603,8,1
5,0,1,6.1596306117660236,15,1
4,0,0,6.73934299848178,12,1
3,0,1,4.128082417872468,5,1
3,1,1,5.576091315492924,5,1
2,0,0,2.8561841116750455,10,1
2,0,1,3.299040617374924,11,1
1,1,1,7.239360465180585,10,1
1,0,1,3.7515201901649857,2,1
2,1,1,3.5656861927207117,10,1
6,0,0,6.055693406705293,10,1
6,0,0,6.99197441708982,10,1
6,1,1,7.14551212995198,9,1
5,1,0,6.907209753287097,8,1
5,1,1,5.958911164589733,8,1
5,1,1,2.117076107587391,11,1
5,0,1,5.950109979913778,11,1
5,0,1,4.873549995707714,10,1
3,1,1,6.047521371966925,5,1
3,1,1,5.137251806224754,5,1
1,1,1,8.052030724276188,14,1
5,0,1,4.626690594981498,14,1
6,1,1,2.772035215923262,27,1
5,0,1,5.824376857131787,7,1
5,1,1,6.104478662640072,5,1
5,1,1,3.9241423261384605,4,1
6,1,1,5.179707518573796,7,1
5,0,1,6.277006210305127,12,1
1,1,1,3.9484433932495886,23,1
6,1,0,1.5711648394747675,5,1
1,0,1,7.572778494199958,10,1
6,0,1,4.032315775390404,14,1
6,1,1,2.596990949096112,15,1
6,0,1,5.68785678453108,7,1
3,0,1,3.71848783429197,14,1
5,0,1,7.703738463089611,17,1
5,1,1,2.534878424944138,15,1
6,0,0,4.900373860554346,2,1
2,1,1,5.140248143486386,25,1
5,1,0,3.547790959214405,8,1
1,1,1,5.220880017300056,10,1
1,0,1,4.8153931266245085,10,1
5,1,1,7.739495795980821,10,1
3,1,1,6.669391962332158,11,1
1,0,1,7.603703461548885,8,1
6,1,0,4.892297275697082,7,1
4,0,1,2.688754536251976,5,1
6,0,1,6.772461628049936,14,1
2,1,1,2.909923917124499,14,1
1,1,1,2.8469055716458294,7,1
1,1,1,7.773074755566006,11,1
5,1,0,2.8079187219784716,7,1
5,1,0,7.522261355619335,4,1
1,0,1,2.766977035987112,8,1
1,0,0,7.753321481933588,10,1
1,1,1,2.2368688209176257,5,1
4,0,0,2.6280540244940616,5,1
5,0,1,6.645233417413215,13,1
5,1,0,5.603712442031096,5,1
5,0,1,2.9641545464982997,5,1
6,1,1,2.419468640319139,37,1
6,1,0,2.531416063858603,7,1
6,1,0,3.1544056258898427,8,1
1,0,1,2.4310028482958344,11,1
2,1,0,4.749811390102288,5,1
6,1,1,5.386763226468817,12,1
5,1,1,4.202860434500102,5,1
5,0,1,6.866200611720501,11,1
2,0,1,4.262595208225798,25,1
3,1,1,8.882718531269036,11,1
2,0,1,5.380010773918354,23,1
1,0,1,3.0482916851504713,23,1
5,1,0,2.3436192394437643,5,1
2,1,1,4.95729139885497,4,1
5,1,1,2.3622779723599323,12,1
4,0,1,5.729303467023739,10,1
5,0,1,3.119348862703074,8,1
6,0,1,3.2263042941152533,8,1
1,1,1,5.835546081293158,8,1
3,1,1,3.1389411924340274,11,1
6,1,1,3.139463957639526,11,1
6,1,0,3.7216933253309947,10,1
1,1,1,2.4388189260037723,27,1
1,1,1,7.836419382892419,23,1
5,1,0,2.4328181998535885,14,1
2,1,0,2.0003871929092587,5,1
1,1,1,2.605342618523498,13,1
5,0,1,7.821750346098567,13,1
6,1,1,7.228250245112541,7,1
1,1,1,0.3665500579501395,14,1
2,0,1,2.982479394829618,25,1
5,1,0,3.394737898713971,23,1
3,0,1,7.5191765300811495,10,1
3,0,1,2.4216698526228444,15,1
6,1,1,2.2421405379798305,5,1
3,0,1,3.3434945495991943,10,1
6,0,1,5.163247513973632,12,1
5,0,1,4.862289033565516,16,1
5,1,1,8.043262945813492,6,1
6,0,1,2.532290847055223,16,1
1,1,1,2.911631256237931,8,1
1,1,0,3.3170643103465385,5,1
1,0,1,7.240477161842965,11,1
6,0,0,7.6067502143302645,9,1
5,1,0,0.770326070544646,15,1
1,1,1,5.9833798214885885,9,1
5,1,1,2.721658353558373,5,1
6,1,1,3.4514014544045817,5,1
5,1,0,2.830833031107412,10,1
6,1,1,8.210191519879501,25,1
5,1,1,2.5094291853466255,9,1
6,1,0,7.222382750489792,5,1
6,1,1,7.49139027927497,6,1
3,1,1,3.1221734295494894,8,1
5,0,1,2.6672916204239447,8,1
2,1,1,7.546558891547402,5,1
5,1,1,7.947871658391377,10,1
6,0,1,3.893824024298382,13,1
1,0,1,4.907296930827281,8,1
6,1,1,3.7999806911439444,8,1
6,1,0,2.597424141659668,14,1
4,1,1,7.70258656250912,10,1
1,0,1,6.580238530266337,10,1
5,1,1,1.5180698041673297,10,1
6,1,1,5.152656904395557,10,1
6,0,1,8.677992548679084,11,1
6,0,1,2.516775288193099,27,1
5,1,1,7.593384046709028,4,1
6,1,1,7.9388260359403295,6,1
6,1,1,3.7194877479521913,10,1
4,1,1,3.063420880411997,10,1
2,1,1,7.340822159380719,17,1
6,1,1,3.1900529159185496,16,1
5,0,1,8.141670179581821,10,1
4,1,0,2.2506940218832234,18,1
6,0,1,3.481491864578707,4,1
6,0,1,6.772623225147301,11,1
6,1,0,2.3721756036628614,7,1
2,1,1,2.4662422458570323,15,1
3,0,0,4.943894079226832,8,1
5,1,1,3.3148334483288178,13,1
1,1,1,2.2677868501233327,23,1
6,0,1,4.4020719164532505,14,1
1,0,1,6.963803093151881,7,1
5,1,1,3.4756564566433563,5,1
5,1,1,2.7812930359969545,14,1
4,1,0,3.1825135195146146,14,1
1,1,0,3.678416017348452,25,1
1,0,1,2.480389475105599,8,1
1,1,0,5.311714184390501,11,1
5,1,1,4.400899333068391,8,1
6,0,1,2.295951913104009,8,1
5,1,1,2.7685320609633277,6,1
5,1,1,3.6426262258466897,15,1
6,0,1,6.813349079590676,11,1
2,1,0,5.679679735497246,5,1
5,1,0,2.8053702920484676,27,1
5,1,0,7.986131675388217,14,1
1,1,0,4.096119282134779,6,1
6,1,1,1.6080448600950596,15,1
5,0,1,6.87432507232129,16,1
3,0,0,2.8669997492335795,9,1
6,0,1,3.872641570812445,5,1
2,0,1,7.834174112254849,9,1
1,0,1,4.5776210062257565,9,1
1,1,1,2.5462281807374367,27,1
1,0,1,6.9253569214308115,9,1
4,1,1,3.77995314961641,8,1
6,1,1,2.66021302964392,24,1
2,1,1,4.712258200528576,10,1
5,1,1,7.358115371216522,25,1
1,0,0,3.083010221337387,7,1
6,1,1,5.0057971485938975,8,1
1,1,0,6.720730307031747,10,1
6,0,1,4.660414682043058,27,1
3,1,1,2.274410395680613,11,1
6,0,1,7.792360706257673,11,1
5,0,1,3.7234995332780354,8,1
6,0,0,7.288706619477769,9,1
4,0,1,2.2373405544299563,11,1
1,1,0,3.375423923082175,7,1
5,1,1,2.5156833612331413,8,1
2,1,1,5.465771387492278,7,1
5,1,1,3.470864071084526,6,1
5,0,0,7.434033524820238,5,1
3,1,0,2.7193132385072385,21,1
1,1,1,7.597108328219276,5,1
5,0,0,6.77095230630085,8,1
5,1,1,2.810561727499543,9,1
5,1,1,2.2893539854303824,7,1
5,1,1,7.00939686764288,37,1
6,0,1,3.1322280620382195,6,1
2,1,1,5.019038558126478,11,1
1,0,1,8.478019277583863,16,1
1,0,0,2.909114953902103,14,1
6,1,0,4.326504340841128,15,1
6,1,0,1.8901212304356303,12,1
2,1,1,3.873176040239105,9,1
5,0,1,6.1171939254931464,11,1
4,1,1,2.173891472388764,11,1
6,0,0,7.323171651454343,15,1
1,1,1,8.317045750281716,4,1
6,1,0,7.517021115276288,8,1
2,0,1,5.646149337841251,9,1
5,1,1,7.826555950681684,11,1
2,1,1,6.902609387867665,5,1
5,1,0,4.035849134121827,9,1
6,1,1,2.7670249405450877,16,1
1,0,1,2.6314919726397132,8,1
6,1,1,2.6065233318573218,15,1
5,1,1,1.868959681903286,9,1
1,1,1,2.7967924201681527,11,1
5,1,0,4.12092607502426,5,1
6,1,1,6.626381306496546,26,1
1,1,0,7.5664576391913005,16,1
2,0,1,7.452942994359462,5,1
2,1,0,2.56320926068523,24,1
5,0,1,7.4309114100751446,25,1
6,1,1,7.544904438974555,6,1
2,1,1,3.6457965024629337,13,1
5,1,1,5.793618051892974,12,1
2,0,1,7.792573667890951,14,1
2,0,1,3.683040016172545,10,1
1,1,1,3.5897352149522823,6,1
5,1,0,3.3250391944499165,4,1
2,1,0,4.006792154485888,8,1
6,1,1,2.622206498737114,15,1
3,0,1,1.2545545377259613,37,1
6,1,1,7.394595240975031,9,1
6,1,1,3.4651292971112477,7,1
6,1,1,1.9234395789741103,18,1
2,1,1,6.881551147264839,5,1
5,1,1,4.211614597912372,24,1
5,1,1,2.8640794936529397,17,1
5,0,0,5.233850187777699,19,1
6,0,1,2.4133412308862767,9,1
5,0,1,4.644855778533704,13,1
3,1,1,8.69280741626599,16,1
6,1,1,3.179844404282175,8,1
6,1,1,3.7365230020447573,16,1
5,0,1,3.04941316723194,32,1
5,0,1,3.146138460365031,6,1
5,1,1,7.400699086730771,10,1
2,0,1,3.1775283715596703,16,1
6,1,0,6.943507033361999,2,1
4,1,0,5.441330664561384,6,1
3,0,1,2.7977797167667062,15,1
5,0,1,2.5014115855036865,21,1
5,1,0,4.540906115545611,14,1
5,1,1,3.6433908027522994,2,1
1,0,1,3.05823257755426,15,1
6,1,1,2.1900741731325777,14,1
2,0,1,3.2961053697080933,16,1
6,1,0,2.6922822856961215,16,1
2,1,0,4.220707149765384,9,1
3,1,1,1.3245465589257797,15,1
5,1,0,3.897599807432142,11,1
3,0,1,3.519965534104427,9,1
5,1,0,2.7831082421278373,14,1
4,1,1,3.827847402513491,7,1
2,1,1,2.3450455784867463,9,1
1,1,1,4.119402975569503,9,1
5,1,1,4.827478819975015,9,1
6,1,1,6.61166907084139,25,1
5,0,1,3.530919745729336,15,1
6,0,1,4.766074163550144,4,1
5,1,0,2.0695159827361955,18,1
6,1,1,6.305126154072264,5,1
4,1,1,4.449344704587539,14,1
2,1,1,3.493973152793676,10,1
5,1,1,7.589852728486977,11,1
6,1,1,2.463028196220256,5,1
5,0,1,3.9563665965560273,10,1
5,1,1,5.995245876100148,8,1
5,1,1,3.4846114143791804,10,1
5,1,1,3.148337198277003,5,1
3,1,1,4.770961736197507,16,1
3,0,1,2.6823479220574127,5,1
6,1,1,5.163161119169178,5,1
5,0,0,3.286633348318972,10,1
6,1,1,3.533678547105371,21,1
3,1,1,3.420986180968118,9,1
6,1,1,7.9249244827541,12,1
5,1,0,7.287608663961664,15,1
4,1,1,3.478698187133415,16,1
5,1,1,7.247208495329523,7,1
1,1,1,2.4886853644737865,18,1
2,1,1,6.4757818704770065,16,1
1,1,1,3.4006994659934806,16,1
1,1,1,3.4088889707873853,15,1
1,1,0,6.863577201743081,6,1
3,0,1,2.5457249534266975,14,1
5,1,1,3.1385052255388324,10,1
5,1,1,3.8742472727212283,10,1
6,0,1,6.484636766000136,10,1
1,0,0,6.898552102045804,14,1
5,1,1,3.174436283670188,25,1
2,1,1,2.9452451084576556,3,1
5,0,1,2.8556278100595613,7,1
3,0,1,3.3410348136713908,7,1
5,0,1,6.876232647120682,5,1
6,0,1,3.8237796754547984,11,1
5,1,1,7.441048880518595,18,1
1,1,1,3.7271920142154964,7,1
2,1,0,4.0307960160239835,10,1
1,1,1,3.004776403969849,24,1
6,1,1,4.023017577926429,15,1
5,1,1,5.2887335209050645,15,1
4,1,1,3.662866446937721,13,1
6,1,1,2.7868283517525856,12,1
5,0,1,7.252033694817525,21,1
5,0,1,8.21451405115208,13,1
1,1,1,4.829658547818676,5,1
2,1,1,7.214354937561244,6,1
5,1,0,2.2665036687702287,10,1
2,1,0,4.347653073157966,5,1
6,1,1,2.2857792565150135,5,1
5,0,1,3.5836146799032074,21,1
5,1,1,3.5395456103645975,5,1
5,0,0,8.31525416296723,18,1
1,1,1,7.369453240854382,7,1
5,1,1,4.132615352806514,10,1
5,1,1,3.252110165387686,18,1
1,1,1,2.679283400015917,7,1
6,1,1,6.712193666232695,10,1
3,0,0,2.8756801745911544,4,1
1,0,0,4.108188857741302,16,1
2,1,0,2.3710291579632976,11,1
5,1,1,2.3590777688947657,8,1
6,1,0,1.8938778142404378,18,1
5,1,1,7.238108402814435,14,1
1,0,1,7.124458129766108,9,1
4,1,1,7.820930262250687,6,1
5,0,1,3.8806488128896834,6,1
1,0,1,3.75213579752229,13,1
4,0,0,2.821912107679668,11,1
5,1,1,5.2234826487284485,10,1
3,1,0,4.156346308188756,13,1
1,0,1,3.111345648806768,27,1
3,1,1,5.585022697542326,14,1
6,1,1,4.579572001422091,11,1
5,1,1,4.759759514949594,16,1
3,0,0,2.338354556464788,6,1
1,1,0,7.416642411480198,18,1
1,0,0,2.200557426789875,5,1
1,0,1,5.16500245459184,15,1
6,1,1,6.667931417524425,7,1
1,0,0,4.247027177378527,7,1
6,1,1,2.081408572801198,9,1
3,0,1,2.673737830875888,21,1
5,1,1,3.783549176354823,25,1
5,1,1,7.062821510305302,6,1
2,0,0,6.966573004213019,9,1
1,1,0,3.552713494342183,6,1
5,1,1,7.637753671167461,21,1
6,1,0,3.5685414554918955,18,1
2,0,1,3.6196006902390514,25,1
1,0,0,3.619703787249011,18,1
1,1,1,8.113781724164843,11,1
5,0,1,2.3227125359470624,14,1
6,1,1,7.298751487366775,8,1
6,1,1,7.976311235037914,10,1
2,1,1,4.935492970890754,12,1
2,0,0,7.626006802639196,7,1
6,0,1,5.302001417387502,10,1
5,1,1,3.5759491538608197,16,1
3,0,1,2.621309820716293,32,1
5,0,1,7.787375890733798,6,1
5,1,1,2.0620801154652875,5,1
1,1,1,4.2511619769654825,25,1
6,0,1,7.673938961912919,6,1
2,1,1,1.5640941561520898,25,1
6,0,1,4.333794865723377,4,1
6,1,0,2.6180307722410037,18,1
5,1,1,4.147020400535526,11,1
1,0,1,2.924850904559522,3,1
6,1,0,6.4395254128088055,16,1
2,0,1,1.9526508267267535,7,1
6,0,1,8.105237035123606,7,1
5,1,1,3.7376541299154695,13,1
4,1,1,3.9418970287811312,15,1
1,0,1,2.7454384001781498,7,1
5,0,0,7.115823098351639,14,1
1,1,1,1.6098587506564748,37,1
1,0,0,2.77412501678379,10,1
5,0,0,2.6473396483119997,15,1
5,1,1,4.71310422034444,21,1
2,0,1,7.476778731115292,12,1
6,0,1,5.258877327557091,9,1
1,1,1,3.5102323905148243,21,1
5,0,1,2.8515825986899674,4,1
1,0,1,7.527085680178605,5,1
1,0,1,5.4224368414958946,12,1
1,1,1,2.805372897753261,10,1
1,1,0,7.5216924560734295,18,1
5,1,1,1.0417310395950814,11,1
6,1,1,2.4149319928510002,10,1
2,1,1,1.3944977710598767,11,1
1,1,1,4.092210851052918,16,1
5,0,1,3.6764132360123774,12,1
5,0,1,3.8755875434026166,23,1
4,1,0,2.831032668996444,9,1
5,1,1,1.593098951406021,12,1
6,0,1,3.912740996189075,13,1
4,0,0,2.9941736937891514,26,1
1,1,1,3.0471709129350883,5,1
1,1,1,4.412588390905339,4,1
1,1,1,3.1359862184869756,14,1
4,0,0,3.8899140975079893,27,1
4,1,1,2.507507677543102,14,1
1,1,1,3.0456026785829646,26,1
6,1,1,2.545044576639761,24,1
6,1,1,4.602834604484225,7,1
6,1,1,7.218293309130527,18,1
4,0,1,8.872248635601352,14,1
1,1,1,3.944576839889838,23,1
6,1,1,3.8077636384918936,10,1
6,1,1,7.085463092564326,10,1
5,1,1,2.5949235551002388,16,1
6,1,1,2.2801290739349995,7,1
6,1,1,4.013991718230553,23,1
6,1,1,4.616428485207326,11,1
6,1,1,2.0307171306835063,8,1
6,0,1,6.729204262669029,12,1
2,0,1,5.800558000890441,2,1
6,1,1,7.529494158574429,4,1
6,1,0,5.78247179065907,10,1
3,1,1,4.658643269176816,27,1
5,0,1,7.884791007040079,5,1
1,0,1,4.587573809799918,5,1
2,1,1,8.13207159839077,27,1
1,1,0,3.4022794706830064,5,1
4,1,1,4.698159746656162,10,1
1,1,1,4.923004139891066,8,1
2,1,1,2.9805986453327664,6,1
6,1,0,6.64015444496235,17,1
6,0,1,2.5317684354252097,32,1
6,1,1,4.087525287268825,8,1
5,1,1,4.62630862973601,15,1
4,1,1,2.229761035710517,5,1
6,1,1,7.0261339122897395,14,1
5,1,1,5.771252910531537,11,1
5,0,1,3.274975508114099,21,1
6,1,0,7.531180544698627,7,1
6,1,1,3.2339669528520534,13,1
2,1,1,7.432290827999503,10,1
2,0,1,2.909419185600705,18,1
5,1,0,3.1419851305821775,5,1
1,0,1,5.052819716308986,17,1
2,1,1,7.430855548415382,10,1
2,0,1,4.817488581700292,19,1
2,1,1,2.199390418624733,12,1
6,0,1,0.9678494934550925,10,1
2,0,1,2.694395556593765,17,1
6,1,0,2.1982546335035154,25,1
5,1,1,3.6391734351009277,18,1
5,1,1,2.3419705559195343,4,1
6,0,1,6.521296999556048,6,1
2,1,1,3.027554219039461,12,1
1,0,1,3.071412410707161,5,1
5,1,1,4.159018407600597,8,1
2,1,0,3.5933570387229548,4,1
1,1,1,2.6964758673410336,19,1
1,1,1,2.076587796479964,16,1
1,0,1,5.716126184738771,12,1
6,0,1,5.6812584045837,22,1
3,1,1,2.8306842751947356,13,1
6,0,1,3.9188810132512746,16,1
3,1,1,2.7366400240415985,15,1
1,1,1,3.3821378357522325,14,1
1,1,1,2.294440592262737,10,1
5,1,1,3.567990559294381,15,1
6,1,1,7.650465197835155,8,1
1,1,1,2.222520351778372,8,1
5,1,0,2.9500867965476347,7,1
5,1,0,7.2766145222851275,10,1
4,1,0,3.176328916559951,10,1
1,0,1,3.0173935970292116,24,1
5,1,0,7.639269595983325,8,1
2,1,1,2.8281403217500807,11,1
2,0,1,2.1113029625495865,9,1
5,1,1,7.406596053119103,8,1
5,1,1,3.7951055446283717,4,1
5,0,1,2.9524437199391484,10,1
2,1,0,3.286969636210216,18,1
6,0,1,2.0609016669958566,10,1
5,1,1,7.027433571413749,22,1
2,1,1,4.009904210187541,8,1
4,1,0,3.589593230668136,2,1
5,0,0,7.404195810964037,14,1
1,1,0,7.31733365474063,9,1
3,1,1,2.6226535483012823,9,1
5,0,1,6.56120839800775,9,1
4,0,1,3.8014198017886547,7,1
4,1,1,5.179029663219284,13,1
6,0,0,4.076527967613098,11,1
6,1,0,7.691988302664794,8,1
5,0,1,8.064011605653656,13,1
5,1,1,4.1220597209467496,5,1
1,0,1,2.7940672636281922,5,1
1,1,1,2.8225618785614537,6,1
1,1,1,4.70505661280194,8,1
1,1,1,3.57417029407166,21,1
