Dept,Gender,Clin,Cert,Prate,Exper
4,1,1,1,6.657036517663136,5
1,1,0,1,3.7456255447214977,16
5,1,0,1,3.3620333045184982,27
6,0,1,0,7.11107683763984,16
4,1,1,1,3.5037953027669055,6
5,0,1,0,4.4700698032533195,11
3,0,0,1,5.78402416129698,6
5,0,1,1,8.145093447052938,16
6,0,0,0,7.469823522400047,18
1,1,1,1,8.422302130272438,8
5,1,1,1,3.2466674141638183,11
6,1,0,0,7.967255995963795,15
4,1,1,1,7.111904653487546,14
5,1,0,1,4.32091610762025,10
3,0,1,0,4.0479888726201585,14
1,0,1,1,6.311131324602949,16
1,1,1,0,5.298241935111311,25
6,0,1,1,1.9216311880788137,12
3,0,1,1,4.305848189592785,13
5,0,0,1,3.3957120484351027,25
6,0,0,0,8.240825759139703,18
2,0,0,1,2.80940484581578,13
6,1,1,1,7.262571349326679,13
5,0,1,1,5.276454000169358,12
5,0,0,1,3.8457981286703684,15
1,1,0,1,3.8801981567886137,2
1,1,0,1,6.635776105327326,16
1,0,0,0,6.613923300726077,12
4,0,0,1,6.0238701238280665,1
6,0,0,1,3.505892946488133,16
5,1,1,1,7.448993894070869,10
1,1,1,1,5.007696328859718,15
1,1,0,1,2.3872687539999333,4
6,0,1,1,7.7453703601946025,6
2,0,1,1,7.436829584090432,8
4,0,1,1,4.916542287287894,9
3,0,1,0,7.569409203388681,11
2,1,1,1,7.685537505774139,5
4,1,1,1,4.203001684544558,8
6,1,1,1,5.170252411869463,10
2,0,0,1,8.651337330857691,18
1,0,1,0,3.160421042302864,4
6,0,0,1,7.633718677576665,7
1,1,1,0,5.206882486742728,5
1,0,1,0,6.998186904632032,7
4,1,0,1,8.037508526395548,12
1,1,1,1,7.402844698217281,10
6,0,1,0,3.7564053813722786,8
2,1,1,0,4.828709411263981,10
6,0,1,1,3.2769149147043746,14
1,0,0,0,4.256646329800458,6
5,1,0,1,3.5706851179083134,4
1,0,0,1,4.195765372413254,10
5,1,0,1,8.10944401381653,37
3,1,0,1,8.094549737307762,9
6,1,1,1,5.575416748165094,18
5,1,1,1,4.081965937836293,5
4,1,0,1,7.517161117808411,1
2,1,0,0,3.127683882680021,15
5,0,0,0,3.5145069080993085,19
6,0,0,1,4.7361265947551505,12
5,1,1,0,4.4759063499888825,11
5,0,1,0,4.440868320681035,15
6,1,1,1,6.649004209059599,15
6,1,0,1,7.214561418045434,9
4,0,1,1,8.195967383932715,10
6,1,1,1,5.5452658488646005,37
1,1,1,1,8.056395109222946,10
5,0,1,1,2.413485875433627,10
1,0,1,1,5.207776857500236,8
6,1,0,0,7.627169467891487,4
3,1,1,0,3.832876957694285,22
1,0,1,0,8.913731413603221,13
1,1,1,0,4.560090513482534,17
2,1,1,1,8.169822815019566,2
6,0,0,0,5.773142935656501,10
1,1,1,1,7.914710384057051,10
1,1,0,0,5.971173439583861,5
4,0,1,1,2.73013126212727,11
4,1,0,0,6.455088993840911,4
4,1,0,1,3.167546623698729,5
4,0,1,1,6.867010993186718,2
4,0,1,1,3.064437377953478,10
5,1,1,1,7.666568021818181,9
1,1,1,1,3.3507736256253975,16
5,0,0,1,6.121385725736253,5
3,0,1,1,7.4189258981876725,22
4,0,1,0,2.8663695640424023,5
4,0,0,1,4.475189210199749,13
4,1,0,1,7.3144225475201585,8
1,1,0,1,7.02716145009972,8
5,0,0,1,4.080838817156581,7
5,0,0,0,4.355020106077928,14
3,1,0,1,1.8183566811768475,6
2,0,0,1,8.234201352922181,18
2,1,1,1,5.028152137077279,17
5,1,1,0,7.937979322928033,23
6,0,1,1,8.160904426262135,16
6,0,1,1,7.834458674283193,5
5,0,1,0,8.71027414678283,10
5,1,1,0,6.383918988450824,21
6,0,1,1,4.171736252283831,27
4,1,0,1,6.584834211645422,9
1,1,1,0,8.283739698925903,21
2,1,1,1,3.690550974937936,7
5,0,0,0,3.6287957101803547,8
2,1,1,1,7.508753518030011,8
6,1,1,1,2.4741090121329607,12
6,0,0,1,6.197723235373543,7
2,1,0,1,5.9805195310990795,5
3,0,1,1,7.70825397912955,10
1,0,1,1,7.192594868537558,23
2,0,1,0,3.761642615444407,10
5,0,1,1,7.3830869400991626,15
1,1,1,0,4.472411378360497,11
5,1,0,1,4.386162947341074,12
6,1,0,1,8.083051989064607,3
1,1,0,1,2.704039024050096,8
4,1,1,0,5.233515889474705,13
5,1,1,1,7.521072859395213,9
4,0,1,1,4.581106605497407,12
4,1,1,1,3.2793975006217453,6
6,1,0,0,5.225382945016557,9
1,1,1,0,3.363317344853008,12
5,0,1,1,7.330315889045499,14
4,1,1,1,4.442163612349664,7
1,1,1,1,4.78256555677838,4
5,1,1,1,3.3097347266557353,11
5,1,1,1,4.136907376764622,2
4,1,1,1,5.178172796977347,18
1,1,0,0,4.568814353815061,7
6,1,0,1,3.6390308084440632,8
5,1,1,1,1.9390478760281549,5
2,1,0,0,3.7705457575593866,5
1,1,0,1,2.962325392692818,27
5,1,1,1,3.6470325281890155,16
2,1,1,1,8.03461281479561,10
5,0,0,1,5.992463882852393,15
5,0,0,1,7.186089836298256,9
6,1,1,0,4.469450521136061,9
5,0,1,0,5.133450179927218,6
6,0,0,0,3.906985692586783,13
4,1,1,1,7.61545920178919,6
2,0,0,1,3.241881512284741,9
4,1,0,0,3.169488837038366,18
5,1,1,1,4.757788527324763,19
5,1,0,1,3.036659070051821,8
1,0,1,1,5.894221198828578,10
2,1,1,0,4.323964882286704,4
5,1,1,1,4.918652898059173,6
5,1,1,1,3.931846324922489,18
5,1,0,1,4.009911105966427,5
5,0,1,0,3.361994721928877,15
2,1,0,0,3.079795858355254,27
5,1,0,1,2.6962977303316404,5
3,1,1,1,3.861244828221786,7
5,1,1,1,6.544772105489039,25
6,0,1,1,4.372167167788293,6
5,1,0,0,1.5338104439045979,14
3,1,1,1,7.088605364860246,15
1,1,0,0,3.1100387033079335,5
6,1,1,1,4.196900813095898,8
5,1,1,1,3.8058651986873833,8
1,0,1,1,6.764731619634057,12
1,1,1,1,7.1884713738457044,5
5,0,0,1,2.3771088460410663,14
2,1,0,0,4.1296676085341595,23
2,1,0,1,3.1251595384118707,10
2,1,0,1,3.6228199378322277,25
5,0,0,0,8.43183738656302,7
6,0,0,1,2.8576311039681856,10
5,1,1,1,6.083731370471881,17
5,1,0,1,3.5353425507655905,10
2,1,1,1,5.115633188007649,11
5,1,1,0,3.255979039089386,16
2,1,0,1,8.253116733297423,4
5,1,1,0,7.615726093334265,10
5,1,1,1,4.263872969395586,8
1,0,0,0,2.1603033761980033,24
6,1,1,1,8.24798174320588,10
5,1,1,1,2.5465662246652956,8
1,1,1,0,3.785234059820768,5
6,1,1,1,7.059664260843308,8
6,0,0,0,4.995370137665103,2
1,1,0,1,4.273925169496324,12
4,0,1,1,2.804206026501784,8
2,1,0,1,5.273900057499303,15
3,0,1,0,2.764251549407196,14
5,0,1,1,3.6407257451157196,10
5,0,1,1,3.651750768553002,14
5,1,0,1,5.909474128442481,6
5,1,0,1,2.4695403093470985,26
5,0,0,1,4.758364734219352,10
1,1,1,1,3.0848086768489953,4
6,1,1,1,5.776582647907633,23
5,1,1,1,7.226614879190937,10
3,1,0,1,3.186589450519122,11
3,1,0,1,4.581853010391979,13
3,0,1,0,4.705018430564233,5
2,1,1,1,4.488627713371225,14
1,0,0,1,7.01216487948789,4
5,0,1,1,7.6580179110500755,5
5,1,1,1,4.471548947042739,8
4,1,0,0,4.634751562014921,14
1,1,0,1,3.5621986542666377,5
5,1,1,1,7.9560845316253355,11
5,1,0,1,3.570745924517196,5
2,1,0,1,7.609116334453744,7
6,0,1,1,2.941623424724416,8
5,1,0,1,3.9651412561098534,9
2,0,1,1,5.1869792445580005,15
4,1,0,0,6.986019877802661,11
5,0,1,1,2.9016425468083877,14
1,0,0,1,2.8748239184634876,10
3,1,0,1,3.3823566911610374,5
4,1,0,0,3.031610658390778,17
4,0,0,1,3.625791049778299,11
4,0,1,1,2.900489484874582,10
5,1,0,1,4.426892604911547,8
2,1,1,1,8.802520298230519,10
5,0,0,1,2.7176955592457497,8
3,0,1,1,7.1382281461358215,9
4,1,1,1,3.760423562355483,11
6,1,1,0,0.8119816419189738,10
4,0,1,1,5.317354440196106,18
3,1,1,1,3.9186948636868695,10
3,1,1,1,6.050503982206001,14
5,0,1,1,8.548760932201288,18
5,1,1,1,6.8633594885845834,16
6,1,1,0,4.33355449712845,8
5,1,0,0,7.7749219065530895,6
1,1,1,1,7.621579659510666,7
4,0,0,1,6.976938970823751,9
3,0,1,1,4.335212330472659,3
5,1,0,1,3.0805943493745254,10
1,1,1,1,2.5967391627860774,8
1,1,0,1,1.8708332449359044,9
5,0,1,1,2.656642632996374,7
3,1,1,1,2.6211696545305982,4
2,1,0,0,6.912746572756781,5
1,1,0,0,3.9001264025525604,10
4,0,0,1,5.300845752221146,14
1,1,0,0,8.651946627608854,14
1,1,0,1,2.158119457024003,10
2,0,1,0,7.043792757787561,9
2,1,1,1,2.5860037267823595,5
1,0,0,1,6.699163092073439,14
2,1,0,0,7.887594970841388,5
5,1,0,1,4.955649140596411,13
4,1,0,1,3.3090825153577046,18
4,0,1,0,6.748610754433281,17
1,1,1,0,3.2463756705957243,5
2,0,0,1,7.132621597832922,3
6,0,1,1,7.656014479832634,7
1,0,1,1,7.3158325644630455,5
5,0,1,1,5.178200619125473,8
1,0,1,0,4.625973836336562,5
5,1,0,0,4.193150976573015,11
5,1,1,0,8.227838206230116,37
1,1,0,0,1.961943517137964,14
5,1,1,1,3.1473662494692656,5
5,1,0,1,2.403823304278384,14
3,0,0,1,3.1593384197433347,7
5,0,1,1,7.215063091840797,5
4,1,0,0,7.180439738688233,8
1,1,1,0,6.958089270636142,5
5,1,0,1,6.575423767432139,7
5,1,0,0,3.6568514607010356,6
3,1,1,0,3.6592705859691423,22
5,1,1,1,6.478760293049083,6
6,0,1,1,4.830705181246155,14
5,1,0,0,0.3207053347099049,11
5,1,0,1,3.416427319356355,12
5,1,1,0,2.583397972514577,7
5,0,0,1,6.8172429486505495,3
6,1,0,1,6.828584515382179,10
5,1,0,0,5.421220926941254,7
6,0,0,1,3.0019255027218446,8
1,0,0,1,7.672755810682932,8
3,0,0,1,7.806779905711835,9
5,0,1,1,3.0854501308898326,25
1,1,1,1,3.40695791066397,4
2,0,1,1,3.6913419888876593,15
6,1,1,1,2.9304599552457127,16
2,0,0,0,3.23228352788102,14
1,1,0,1,5.057235122659288,8
5,0,1,1,3.7729405862323815,6
3,0,0,1,5.593927909701469,16
2,1,1,1,3.9210835209882227,7
3,1,0,0,3.7373294035121347,4
5,0,1,1,3.3238309600617892,10
1,1,1,0,2.0233433435511925,12
5,1,1,1,7.201361790610898,18
5,1,0,1,2.8550875286022634,10
5,0,0,1,3.615218508752788,9
1,1,1,1,4.272750713838834,3
1,1,1,1,5.158410434044139,5
2,1,0,1,4.067065119414945,7
5,0,0,0,2.490967637537451,5
2,1,1,1,8.956704228105236,7
1,0,1,1,3.264148972949592,9
2,1,1,0,6.8304880892106805,10
1,1,1,0,8.615305790766765,15
5,1,0,0,4.3813211295778425,2
2,1,0,1,7.541945441780772,2
1,0,1,0,7.866754960541344,27
2,0,0,1,1.979129767944756,6
5,0,1,1,2.3324584967831226,27
5,0,0,1,3.767638058233311,27
2,0,0,0,8.013092775315954,10
5,0,1,1,4.266795809264123,9
5,0,1,0,8.18640908131762,6
3,1,1,1,5.046329875727333,5
1,1,0,1,2.8758166205983464,7
3,1,1,1,7.712250289710808,3
5,1,1,1,4.060532482196823,5
6,1,0,0,4.6455277183801575,27
1,0,0,1,3.858776468957264,4
1,1,0,1,2.779054299680368,15
5,1,1,1,3.5424108305132473,8
1,1,1,1,8.04459555453059,9
6,1,1,1,2.265473990060419,24
6,0,1,1,6.99586170414578,37
2,0,1,0,5.500331234848875,10
5,1,1,1,3.8733933558349154,4
4,1,1,1,5.336561413441081,7
5,1,0,1,5.021381637643932,23
1,0,1,0,3.43707214175045,27
2,0,1,1,5.294235227958984,6
3,1,1,0,7.989462003621084,15
5,0,1,0,4.231178282710127,27
6,1,0,1,7.485643318695144,12
2,1,1,1,4.240574406430763,6
2,0,0,1,5.205271259972118,16
1,1,1,1,0.8200572147663281,10
5,0,0,0,4.196480861937391,5
5,1,0,1,7.549202510736631,37
4,1,1,0,9.02836530780122,10
2,1,1,1,7.065323950642984,16
6,1,1,1,3.4271943915886807,11
4,1,1,0,6.234262406027452,2
5,1,0,0,3.244595797642498,27
5,0,1,1,7.599002586094044,4
2,0,0,1,7.508015593890658,7
1,1,1,1,3.11224467351417,3
6,0,1,1,3.129857212277421,5
5,1,1,1,3.0217789564861257,12
5,1,0,0,6.702604339447953,12
5,1,1,0,7.997502513150207,14
2,1,0,1,5.365462970276088,4
3,1,0,0,7.60400719494833,10
4,1,1,1,3.90745424475801,8
1,1,0,1,3.1215081719890434,8
2,1,0,1,8.116281974751416,16
6,1,0,1,3.4533073596034254,8
2,1,0,1,4.5572900095876,2
2,1,0,0,8.574255383325873,10
3,1,0,1,2.395840332479008,9
5,0,1,1,4.057483372055373,9
1,1,0,1,5.231880860009948,13
2,0,0,1,3.3164829677673273,8
2,1,1,1,4.680236912293692,8
5,0,0,1,6.248973647740659,8
5,0,0,0,6.996279480553153,11
3,1,1,1,2.8300508626739473,5
2,1,0,0,2.835426878150143,6
2,1,1,0,3.6370017460465207,10
4,1,1,1,4.0842248921959685,12
2,1,0,1,3.218050364359109,10
6,0,1,1,4.224017681913348,8
4,1,1,1,3.465411053779444,32
4,1,0,1,7.813621168528657,13
4,0,1,1,4.903754727267731,12
1,0,0,1,4.069175190735658,6
1,0,0,1,7.308120733680517,4
1,1,1,1,5.427274549949494,13
1,0,1,0,3.1704992322657946,23
6,1,1,0,7.945650288400228,12
3,0,1,1,8.260793512526412,10
6,1,1,0,8.240521335440295,2
2,1,0,1,3.7611505622383223,37
5,1,1,0,7.305023128170255,11
4,1,1,1,4.202011050530692,15
6,1,1,1,4.13496399687912,11
1,1,1,1,2.6504832037877843,1
4,0,1,1,5.30898173796496,19
1,1,1,1,6.6007032430546655,5
4,1,0,1,5.58541098120403,10
5,0,1,1,1.7752322059841688,22
2,1,1,1,2.5220011908432687,9
6,0,0,0,6.465607369122948,2
1,0,1,0,3.030736155865438,8
4,0,1,1,7.310685200793471,4
5,1,1,1,6.726053501643508,6
4,1,1,1,2.882609739687088,10
3,1,1,0,7.570925695878253,5
5,1,1,1,6.983712641648758,11
5,1,1,0,6.951885018613564,17
5,0,0,0,3.7313709804233963,37
1,1,0,1,7.978713836316035,12
2,0,1,1,4.833207760701092,11
3,0,1,1,6.7086456533969985,23
4,1,0,1,4.823522153051432,5
1,0,0,1,5.3374551383517,23
6,1,0,1,6.012065690792465,7
5,1,1,1,3.3627353924490064,5
1,0,1,0,3.770943520407908,5
3,0,1,1,7.441982794067344,10
2,1,1,0,4.303149133112228,14
3,0,1,0,7.045997966567027,10
6,0,0,1,7.803620860360812,14
1,0,0,1,6.6281235067867,5
5,0,0,1,3.4800885387873617,3
2,0,1,0,4.009227905260044,16
6,1,1,0,4.202860597197359,15
5,0,0,1,7.136365377033809,8
5,1,1,1,5.409270213920058,25
6,0,1,1,7.202944502808401,7
2,1,1,1,4.006755190540196,2
5,1,0,1,4.031682753626662,7
2,1,1,1,4.984000246527456,5
1,0,1,1,4.862232879200787,16
5,0,1,1,3.997415156548928,8
2,0,0,0,3.3019360612183233,14
5,1,1,1,2.459274126647393,8
4,1,0,1,4.226803619979976,12
4,1,0,0,3.9128060630838677,5
3,0,0,1,4.451385975798273,10
5,1,0,1,7.339179424556051,8
5,1,0,1,4.459300385246811,6
2,1,1,0,7.15916676641721,8
1,0,1,1,5.265650836484447,2
2,0,1,1,3.230129385755691,10
1,1,0,1,6.291824862032782,10
1,0,0,1,6.860490455422227,10
5,0,0,1,5.112793873035515,5
1,0,1,1,4.126842774263403,6
1,1,1,1,7.602676549108877,11
1,1,1,1,4.719356138670161,8
2,0,1,1,5.079284042528325,5
2,1,0,0,8.019685851782091,9
6,1,0,1,3.893225376082036,5
1,1,0,0,2.6227881917465243,5
5,0,1,0,7.487766798638772,23
1,0,0,1,5.143326642515075,9
1,1,0,1,6.644052119847167,5
2,0,1,0,6.315158362732632,14
5,0,1,1,3.172825176191175,7
3,1,0,1,7.643357634412804,21
5,1,0,1,4.827092446243799,13
3,0,0,1,7.839094069677569,4
1,1,0,0,4.223922154206052,5
1,0,1,0,6.41893524094959,9
4,0,0,0,2.3107462469817586,21
6,1,1,0,2.499026229452701,9
2,1,1,0,5.312675050911281,11
6,0,1,1,8.314761618388406,6
5,1,1,1,2.437185553175346,6
1,0,0,0,7.675978867806085,7
1,1,0,0,7.195585360180541,4
1,1,0,1,2.773444824887182,14
6,0,1,0,5.3992871268895914,3
6,0,0,1,2.607420141065087,10
3,1,0,1,4.704462885065476,11
1,0,0,0,4.915486880196527,24
1,1,0,1,3.1956535337011935,7
2,1,1,0,3.348626534920755,5
6,0,0,0,1.8563176111368733,6
5,0,0,0,3.6593708149209045,23
4,1,0,0,3.4846392757566402,5
3,0,0,1,2.3629925488474988,5
5,1,0,1,7.259592686641729,15
2,0,1,1,2.0323954222113603,15
1,0,0,1,7.307096988110937,9
2,0,1,1,2.773580092149026,8
1,1,0,1,3.004458116121444,5
3,0,1,1,4.839297830684869,7
5,1,0,1,6.808137639502617,8
5,1,1,0,2.355175405979995,5
2,1,1,1,3.9118662356391467,16
5,1,1,0,7.363286777508122,5
6,0,1,1,3.9404453715361663,22
6,0,0,1,3.7688631050048924,16
6,1,1,1,3.458276045920887,5
1,0,1,1,3.047096232398842,10
4,0,0,0,6.897708651577317,2
4,1,1,0,2.741195381077544,6
5,1,0,1,5.171441908153622,16
6,1,0,1,3.9066142050802215,5
5,0,1,1,4.349332146798076,10
3,0,0,0,4.576966427382942,8
1,1,0,0,7.151875950777585,6
3,1,1,0,2.9333034820908273,10
5,1,1,1,3.2128146474110975,6
5,1,1,0,6.493306046854717,21
2,1,0,1,7.0710314457715935,10
4,1,1,0,7.073935874206307,3
2,0,0,1,4.264742662248553,17
6,0,0,0,3.2868741209825063,5
5,0,0,1,4.144941429071006,5
5,0,0,1,1.7949973296616593,10
6,1,1,1,4.751387282401137,4
1,1,0,1,3.8141162303108502,3
4,1,1,1,7.38248756468525,5
3,0,0,0,3.502582745057579,6
4,1,1,0,3.9285067442110844,16
4,1,1,1,6.774358596143811,14
2,1,1,1,3.5992295692186014,10
2,1,0,0,5.1518378597594445,16
6,1,0,1,8.491374475059596,18
2,1,0,0,8.279064159475062,10
6,1,0,0,7.745400088021854,17
6,0,0,1,7.730260767828588,12
4,0,0,1,7.955780140687099,7
6,1,0,0,3.73338259180235,21
3,1,1,1,5.606235015243032,19
4,1,1,1,3.9688453663923355,8
6,1,1,1,4.713833323223197,8
4,0,1,1,3.7635033170023537,16
4,0,1,1,3.1108215292431867,22
5,1,1,1,4.347473105079298,11
2,1,1,1,7.100775143151832,14
5,0,0,0,5.8526412509004935,6
5,1,1,1,7.777648942557671,2
5,1,1,0,5.194274056775199,23
3,1,0,1,7.57838132908758,9
5,1,1,1,8.056127462902252,11
2,1,1,1,3.9533483996987533,17
2,1,0,0,2.8609980033364124,7
6,1,0,0,3.141204643394002,13
1,1,1,1,4.4004222611910215,9
1,0,0,1,7.153579626183093,7
6,1,1,0,4.856507679846172,11
2,1,1,1,7.656887005636201,5
2,1,0,1,3.923762353181776,4
2,1,1,1,7.706633932490435,10
1,1,0,0,4.658571665774972,14
2,1,1,0,6.957743647136913,11
6,1,0,1,3.018562429669467,12
5,0,1,1,7.6955655676867645,6
4,0,0,1,5.209695960822827,11
6,1,1,1,5.53468675740894,9
1,1,0,1,4.840260219912985,9
3,0,1,0,3.70116032316709,9
4,0,0,0,3.301991483651356,4
1,1,1,1,5.1979220740496626,15
2,0,1,1,7.011735163280587,9
5,0,0,1,5.062984329415392,12
4,1,1,1,3.615709685682582,10
1,1,0,1,1.5100380595409844,7
4,1,0,1,3.9055961742217806,19
5,1,1,1,1.790372388546618,37
4,1,1,1,4.794710173714547,4
2,1,0,1,4.628700222809921,16
2,1,0,1,6.189964228054119,3
4,1,0,1,3.711583905506433,10
6,0,0,1,3.323788018294651,12
5,0,1,1,4.275598693715491,14
3,0,1,1,2.520190407818746,3
2,1,0,1,1.3751912083694156,8
1,1,1,1,3.027237562085899,18
5,0,1,1,4.755896562253811,15
4,0,1,0,6.756342005702594,5
5,1,1,1,5.5044987199378985,10
1,0,1,0,3.470924695181424,5
6,0,0,1,7.615268891041546,5
2,1,1,1,7.506648166840982,3
2,0,1,1,3.726846915311065,14
5,1,1,1,4.493661385812233,2
2,1,1,0,8.420993321974548,8
5,1,0,1,8.416698590521897,14
2,1,1,0,3.0676757514467665,7
2,0,0,1,4.754413917681907,11
4,1,1,1,3.73689653922789,5
1,1,1,1,3.438671498686981,10
5,1,1,1,4.258204421382849,18
2,1,1,0,1.790328252394712,21
6,1,1,0,4.695613716343149,8
4,1,0,0,3.330490970452055,15
1,0,1,0,7.324282117673848,16
5,1,1,0,4.73908150155606,6
6,0,1,1,4.244067176405508,15
5,1,1,0,7.961053333978296,24
5,1,1,1,7.434134486294155,10
1,1,1,1,3.7655828757386636,5
5,1,1,0,5.906659543697515,9
4,1,1,1,3.1375305909290008,8
5,0,0,0,3.554092600962953,5
6,1,1,1,2.6745574896275848,15
5,1,0,1,2.057814671290947,23
6,0,1,1,2.6602360178326565,6
1,1,1,0,3.611470254117504,5
4,0,1,1,3.3639686250376952,16
5,1,1,1,4.056824951623541,7
5,1,1,1,2.8653654768997168,14
6,1,1,1,7.7609736885239435,9
2,1,1,1,2.714039494687266,16
5,1,1,1,2.922625870169325,7
4,1,1,0,7.419160090841473,10
3,1,0,1,3.2644923600935876,15
5,1,1,1,8.01579244834174,14
2,1,0,1,4.855786705072909,8
5,1,0,1,6.393392778152312,3
1,1,1,0,5.3671397287416855,2
6,0,1,1,6.885026549941087,10
5,0,1,1,3.9869502281634634,6
2,0,0,1,3.758337126111559,9
1,0,1,0,7.463506771916736,13
4,1,1,1,6.573431719631575,8
2,0,1,1,4.8460100574160805,3
2,0,0,1,3.705271646961222,16
5,0,1,1,6.9944787103270185,19
1,1,1,1,5.575168268275848,27
1,0,0,1,2.4368698995353757,5
5,1,0,0,2.281732533306595,7
5,1,1,1,3.5548599453844205,11
2,1,0,0,4.708968020008321,10
1,1,1,1,0.8805325214651702,10
5,1,1,1,7.7549195919570515,9
5,0,1,1,1.6286758058730646,4
1,1,1,1,8.145211103372429,13
1,0,1,0,7.40003321702318,9
5,1,0,1,4.04698485117523,7
3,1,0,1,4.598756997226266,7
5,0,1,0,3.346678449333387,25
2,0,0,1,5.799549846992484,3
2,1,0,0,1.3692641568088968,8
1,1,0,0,7.9547163505183685,7
2,0,0,1,7.351708820740815,8
6,1,0,1,4.4262053308597995,8
5,1,1,0,8.304905405325147,6
5,1,0,0,7.311045659723382,3
2,0,1,1,7.673194053501657,7
2,1,1,1,3.548946087416504,13
